product_id,product_name,brand_name,combined_text,true_label,predicted_label,confidence,error_type
P443352,Mini Daily Microfoliant Exfoliator,Dermalogica,great product love this product i use it once a day and it keeps my skin soft and my pores clear. i would highly recommend.,1,1,0.9999877764532192,TP
P438620,Nourishing Moisturizer with Prebiotics,SEPHORA COLLECTION,love it love love love this moisturizer. i use it every morning and my skin feels nice and soft all day. its not greasy and a little goes a long way. overall a great product. highly recommend giving t...,1,1,0.9999820142705734,TP
P429952,Jet Lag Mask,Summer Fridays,"the best mask out there! i love this mask. i travel weekly for work and this is my go to as it keeps my skin hydrates after flights! it’s makes my skin so soft, keeps a nice balance and gives my face ...",1,1,0.9999752220088162,TP
P432262,Self Tan Purity Bronzing Water Face Mist,St. Tropez,best tanner absolutely love! perfect even glow. super natural!,1,1,0.9999720137344597,TP
P230538,Brumisateur Natural Mineral Water Facial Spray Travel Duo,Evian,"love love love this! this is amazing! feels so refreshing anytime you feel hot, dry, tired, sick, etc. it is so wonderful and i highly recommend. i use several times a day because it’s so refreshing. ...",1,1,0.9999661829050116,TP
P442840,Barrier+ Triple Lipid-Peptide Face Cream,Skinfix,love it love this moisturizer so much so lightweight and looks amazing on my skin . i have dry skin and this is so good i absolutely love this brand so much . my skin has improved so much since using ...,1,1,0.999964144722557,TP
P456412,Greek Yoghurt Foaming Cream Cleanser,KORRES,"a must have! i love this cleanser so much. i’m obsessed with the scent it has, it’s so clean and sweet. it’s also so gentle and creamy it leaves my skin feeling so soft after and making my skin look s...",1,1,0.9999606371373356,TP
P453818,GENIUS Collagen Calming Relief,Algenist,"wow! great product! i’ve been using this product for a 10-day trial and wow! this is some crazy good stuff! my skin feels so soft, and my redness has been greatly reduced. it’s very soothing without b...",1,1,0.9999595940534566,TP
P504523,Futuredew Facial Oil-Serum Hybrid,Glossier,great product and i love everything glossier has t i have dry skin and this is amazing very moisturizing and makes my skin look dewy and fresh. i will use this in the summer in place of foundation aft...,1,1,0.999956171244099,TP
P504001,Ceramidin Skin Barrier Serum Toner,Dr. Jart+,wow! i love it! i have rosecea and this is amazing on my skin! leaves my skin hydrated so good! does not irritate my skin at all i highly recommend it!,1,1,0.9999556910866403,TP
P467762,Mini Watermelon Glow PHA + BHA Pore-Tight Toner,Glow Recipe,"not for me disappointed, didn’t do much for my skin personally.",0,0,0.999997965854449,TN
P484067,Evercalm Barrier Support Face Oil,REN Clean Skincare,"not for me. felt nice, but did nothing for me. i think it broke me out too. i ended up returning.",0,0,0.9999936217851653,TN
P417936,Rose & Hyaluronic Acid Deep Hydration Toner,fresh,not for me! wanted to love this product but unfortunately it only left me to break out all over my face :(,0,0,0.9999829744332761,TN
P443352,Mini Daily Microfoliant Exfoliator,Dermalogica,useless wanted to love it but did nothing for my skin.not worth the money.,0,0,0.9999798128194909,TN
P423688,Daily Microfoliant Exfoliator,Dermalogica,useless wanted to love it but did nothing for my skin.not worth the money.,0,0,0.9999798128194909,TN
P438643,The Balance pH Balancing Gel Cleanser,BeautyBio,"disappointing i had high hopes for this. unfortunately, i haven’t noticed any difference in my skin. not worth the price!",0,0,0.9999757733953539,TN
