cluster_id,persona_name,product_id,product_name,brand_name,combined_text,high_satisfaction,sentiment_label
0,Makeup & General Enthusiasts,P164932,Minted Rose Lip Balm,Rosebud Perfume Co.,i wish it wasn't so hard to open! love the salve itself but it is so darn difficult to open sometimes! gets me very frustrated!,0,negative
0,Makeup & General Enthusiasts,P483455,The Weighted Razor Kit,Hanni,"bummer this razor is extremely well made and i had such high hopes for it. however, even though i was very careful i looked liked i’d been attacked by a machete. i love the shave pillow and will conti...",0,negative
0,Makeup & General Enthusiasts,P12045,Grape Water Moisturizing Face Mist,Caudalie,"meh.. love caudalie, but this is seriously nothing special. it’s pricey, plain, unscented water. save your pennies and get some out of the tap..",0,neutral
0,Makeup & General Enthusiasts,P459300,Mini GOOPGLOW Morning Skin Superpowder,goop,yesssssss i love everything goop! so i was extremely excited to receive this as a gift! the energy it provides me is fantastic,1,positive
0,Makeup & General Enthusiasts,P483455,The Weighted Razor Kit,Hanni,perfect shave loving this razor because it provides such a close shave. i love that it’s weighted and that makes it easier to handle. the color is pretty and so appealing too. this pairs perfectly wit...,1,positive
0,Makeup & General Enthusiasts,P431180,Self Tanning Bronzing Face Drops,Isle of Paradise,fast acting and effective! love these for evening out my skin in the summer. so pretty.,1,positive
0,Makeup & General Enthusiasts,P283106,Instant FIRMx Eye Temporary Eye Tightener,Peter Thomas Roth,residue. this has so much potential. the residue is a challenge. would love to hear from peter thomas roth specialist on application tips.,0,negative
0,Makeup & General Enthusiasts,P501178,YUZU-C Glow-On Shot Serum,WASO,surprisingly i love it. usually im not a big fan of serums.,1,positive
0,Makeup & General Enthusiasts,P455909,Facial Spray with Aloe Sage & Orange Blossom,Mario Badescu,refreshing and affordable refreshes my sleepy working afternoon in heater dried office seat! not a fan to the scent at first but slowly fall in love later,1,positive
0,Makeup & General Enthusiasts,P469196,Supplement Case,SEPHORA COLLECTION,"as a person who is on regular meds, this is perfect for my purse. it’s small but the compartments are big enough to hold enough medication for a while. i honestly love it.",1,positive
1,Daily Skincare Users,P443845,Hyaluronic Acid Hydrating Serum,The INKEY List,"i have seen improvements in my skin, so quite happy with this purchase.",1,positive
1,Daily Skincare Users,P409800,Cleansing & Exfoliating Wipes,SEPHORA COLLECTION,"pupper approved honestly you guys this is so exfoliating, a bit rough if you press too hard but overall gets rid of flaky skin. me likeeee!!!",1,positive
1,Daily Skincare Users,P503693,Bouncy Brightfacial Brightening Mask with 10% Azelaic Acid + 1% Salicylic Acid,Drunk Elephant,this seemed to help my dull skin. if it wasn’t so expensive i’d be buying again when it runs out,1,positive
